Date,KP
20926,3
20927,3
20927,1
20927,0
20927,1
20927,2
20927,2
20927,1
20927,2
20928,2
20928,1
20928,1
20928,1
20928,0
20928,1
20928,2
20928,1
20929,0
20929,1
20929,1
20929,0
20929,1
20929,1
20929,1
20929,2
20930,2
20930,4
20930,4
20930,5
20930,5
20930,3
20930,3
20930,5
21001,2
21001,3
21001,5
21001,6
21001,7
21001,7
21001,5
21001,7
21002,7
21002,7
21002,5
21002,4
21002,3
21002,3
21002,3
21002,3
21003,6
21003,3
21003,4
21003,3
21003,4
21003,5
21003,6
21003,6
21004,7
21004,6
21004,6
21004,5
21004,4
21004,4
21004,6
21004,4
21005,4
21005,4
21005,3
21005,3
21005,5
21005,5
21005,3
21005,3
21006,2
21006,3
21006,4
21006,3
21006,1
21006,2
21006,4
21006,4
21007,3
21007,5
21007,6
21007,4
21007,5
21007,5
21007,6
21007,6
21008,5
21008,6
21008,4
21008,4
21008,4
21008,4
21008,3
21008,2
21009,1
21009,3
21009,4
21009,3
21009,4
21009,4
21009,4
21009,3
21010,3
21010,4
21010,4
21010,4
21010,2
21010,2
21010,1
21010,3
21011,1
21011,2
21011,2
21011,2
21011,2
21011,2
21011,1
21011,2
21012,2
21012,1
21012,1
21012,2
21012,2
21012,2
21012,1
21012,2
21013,1
21013,2
21013,2
21013,1
21013,1
21013,1
21013,2
21013,2
21014,3
21014,4
21014,5
21014,3
21014,5
21014,4
21014,3
21014,3
21015,3
21015,3
21015,3
21015,4
21015,3
21015,4
21015,4
21015,3
21016,3
21016,2
21016,2
21016,2
21016,3
21016,3
21016,6
21016,3
21017,4
21017,3
21017,3
21017,2
21017,3
21017,2
21017,2
21017,3
21018,3
21018,3
21018,2
21018,2
21018,3
21018,3
21018,3
21018,3
21019,3
21019,3
21019,3
21019,2
21019,2
21019,2
21019,4
21019,4
21020,3
21020,3
21020,2
21020,2
21020,3
21020,2
21020,2
21020,3
21021,2
21021,3
21021,3
21021,2
21021,2
21021,2
21021,2
21021,2
21022,3
21022,2
21022,2
21022,4
21022,2
21022,2
21022,3
21022,1
21023,1
21023,1
21023,2
21023,2
21023,3
21023,3
21023,3
21023,3
21024,5
21024,6
21024,4
21024,6
21024,6
21024,6
21024,6
21024,5
21025,6
21025,5
21025,5
21025,4
21025,5
21025,3
21025,3
21025,4
21026,4
21026,4
21026,4
21026,5
21026,4
21026,4
21026,4
21026,3
21027,3
21027,4
21027,4
21027,3
21027,4
21027,4
21027,4
21027,5
21028,5
21028,4
21028,3
21028,3
21028,3
21028,2
21028,3
21028,3
21029,3
21029,3
21029,3
21029,4
21029,3
21029,2
21029,3
21029,3
21030,2
21030,3
21030,5
21030,3
21030,2
21030,2
21030,3
21030,3
21031,4
21031,3
21031,3
21031,3
21031,4
21031,4
21031,3
21031,2
21101,2
21101,1
21101,2
21101,2
21101,1
21101,2
21101,2
21101,2
21102,5
21102,3
21102,3
21102,4
21102,4
21102,4
21102,5
21102,4
21103,4
21103,5
21103,4
21103,4
21103,4
21103,5
21103,5
21103,5
21104,4
21104,4
21104,4
21104,3
21104,3
21104,4
21104,3
21104,5
21105,3
21105,5
21105,4
21105,4
21105,4
21105,3
21105,3
21105,4
21106,4
21106,3
21106,3
21106,3
21106,3
21106,3
21106,4
21106,4
21107,4
21107,3
21107,2
21107,3
21107,2
21107,3
21107,3
21107,2
21108,1
21108,1
21108,1
21108,2
21108,1
21108,1
21108,2
21108,0
21109,1
21109,0
21109,1
21109,1
21109,1
21109,2
21109,3
21109,3
21110,4
21110,4
21110,5
21110,2
21110,2
21110,2
21110,2
21110,2
21111,2
21111,2
21111,3
21111,3
21111,4
21111,1
21111,2
21111,3
21112,2
21112,3
21112,2
21112,4
21112,3
21112,2
21112,4
21112,4
21113,4
21113,4
21113,2
21113,3
21113,3
21113,2
21113,2
21113,2
21114,3
21114,2
21114,1
21114,2
21114,2
21114,3
21114,2
21114,2
21115,3
21115,3
21115,3
21115,3
21115,2
21115,2
21115,2
21115,3
21116,3
21116,1
21116,1
21116,0
21116,1
21116,1
21116,2
21116,3
21117,4
21117,2
21117,1
21117,0
21117,1
21117,2
21117,1
21117,2
21118,3
21118,2
21118,2
21118,1
21118,2
21118,2
21118,3
21118,3
21119,3
21119,3
21119,3
21119,2
21119,2
21119,2
21119,3
21119,4
21120,3
21120,3
21120,1
21120,2
21120,1
21120,4
21120,6
21120,5
21121,4
21121,5
21121,7
21121,5
21121,5
21121,4
21121,5
21121,4
21122,5
21122,4
21122,3
21122,4
21122,5
21122,4
21122,3
21122,4
21123,4
21123,4
21123,3
21123,3
21123,3
21123,3
21123,3
21123,2
21124,3
21124,3
21124,3
21124,3
21124,2
21124,4
21124,3
21124,3
21125,3
21125,3
21125,3
21125,3
21125,3
21125,4
21125,2
21125,3
21126,3
21126,2
21126,1
21126,1
21126,2
21126,2
21126,2
21126,5
21127,5
21127,5
21127,4
21127,3
21127,3
21127,2
21127,3
21127,3
21128,3
21128,3
21128,3
21128,2
21128,3
21128,3
21128,3
21128,2
21129,3
21129,2
21129,3
21129,2
21129,3
21129,3
21129,3
21129,3
21130,3
21130,4
21130,4
21130,3
21130,3
21130,3
21130,2
21130,3
21201,4
21201,3
21201,3
21201,3
21201,3
21201,4
21201,2
21201,4
21202,3
21202,3
21202,3
21202,3
21202,2
21202,3
21202,3
21202,3
21203,3
21203,3
21203,2
21203,3
21203,3
21203,2
21203,3
21203,2
21204,2
21204,2
21204,3
21204,2
21204,2
21204,4
21204,4
21204,3
21205,3
21205,3
21205,2
21205,2
21205,2
21205,2
21205,2
21205,2
21206,2
21206,2
21206,2
21206,2
21206,1
21206,3
21206,2
21206,3
21207,4
21207,3
21207,3
21207,4
21207,3
21207,3
21207,3
21207,3
21208,2
21208,4
21208,2
21208,1
21208,3
21208,3
21208,3
21208,2
21209,3
21209,1
21209,1
21209,1
21209,1
21209,2
21209,1
21209,1
21210,2
21210,1
21210,1
21210,1
21210,0
21210,1
21210,1
21210,2
21211,0
21211,1
21211,2
21211,2
21211,1
21211,1
21211,1
21211,1
21212,1
21212,1
21212,1
21212,1
21212,1
21212,1
21212,1
21212,1
21213,2
21213,1
21213,0
21213,1
21213,1
21213,1
21213,1
21213,2
21214,2
21214,2
21214,2
21214,2
21214,2
21214,4
21214,4
21214,3
21215,3
21215,2
21215,1
21215,2
21215,2
21215,1
21215,2
21215,2
21216,2
21216,1
21216,2
21216,2
21216,1
21216,1
21216,1
21216,2
21217,2
21217,1
21217,0
21217,0
21217,0
21217,0
21217,1
21217,1
21218,1
21218,1
21218,1
21218,0
21218,1
21218,1
21218,0
21218,1
21219,3
21219,4
21219,4
21219,4
21219,4
21219,4
21219,5
21219,2
21220,3
21220,4
21220,2
21220,2
21220,3
21220,3
21220,4
21220,5
21221,5
21221,6
21221,3
21221,2
21221,2
21221,3
21221,2
21221,2
